,Baseline,Linear Regression,XGB,LGBM
MSE,50.24448170248719,39.5835173833637,38.27752275300212,38.23373843529246
Coefficient of Determination,0.5462743307158682,0.6425466576860379,0.6543402570558361,0.6547356451299852
