,corr w/ target
playMin_ewm_025,0.757
playMin_ewm_03,0.757
playMin_ewm_02,0.756
playMin_ewm_04,0.752
playMin_ewm_05,0.745
playMin_ewm_01,0.743
playMin_ewm_06,0.735
playMin_last5_median,0.732
playMin_ewm_07,0.724
playMin_last20_median,0.707
playRat_ewm_02,0.663
playRat_ewm_025,0.661
playRat_ewm_03,0.658
playRat_ewm_01,0.654
playRat_ewm_04,0.647
playRat_ewm_05,0.633
playRat_last20_median,0.63
playRat_last5_median,0.627
playRat_ewm_06,0.618
playStat,0.604
