,corr w/ target
playMin_ewm_std_01,-0.19
playMin_ewm_std_02,-0.148
playMin_ewm_std_025,-0.132
playMin_ewm_std_03,-0.118
playMin_ewm_std_04,-0.097
playMin_ewm_std_05,-0.08
playMin_ewm_std_06,-0.067
playMin_ewm_std_07,-0.056
teamLoc,-0.003
